event_id,latitude,longitude,start,end,end_exclusive,duration_hours,ptype_codes,ptype_labels,dominant_ptype_code,dominant_ptype_label,freezing_liquid_hours,wet_snow_hours,temperature_mean_c,temperature_min_c,temperature_max_c,gust_mean_ms,gust_max_ms,precip_rate_mean_mmh,precip_rate_max_mmh,precipitation_water_equivalent_mm,snowfall_rate_mean_mmh,snowfall_rate_max_mmh,snowfall_water_equivalent_mm,tcslw_mean_kgm2,tcslw_max_kgm2
E01594,40,22.75,2012-02-08T19:00:00,2012-02-09T13:00:00,2012-02-09T14:00:00,19,6,wet_snow,6,wet_snow,0,19,1.261858488,0.8844299316,2.146392822,9.380509979,10.66590118,0.2959803531,0.6505966187,5.623626709,0.2927362919,0.6488800049,5.561989784,0.1160149825,0.173248291
E02622,39.5,22.75,2016-01-18T02:00:00,2016-01-18T20:00:00,2016-01-18T21:00:00,19,6,wet_snow,6,wet_snow,0,19,2.155984979,0.958404541,3.172027588,8.887114224,10.3282423,0.2935635416,0.6772041321,5.577707291,0.2818239363,0.6592869759,5.354654789,0.03379098993,0.1321716309
E01008,40,21.75,2018-12-18T00:00:00,2018-12-18T18:00:00,2018-12-18T19:00:00,19,6,wet_snow,6,wet_snow,0,19,1.846568861,1.051300049,2.723419189,7.522013614,9.057594299,0.6440463819,1.407623291,12.23688126,0.5280958979,1.156246662,10.03382111,0.09447760331,0.2126464844
E01529,40,22.5,2012-02-08T19:00:00,2012-02-09T13:00:00,2012-02-09T14:00:00,19,6,wet_snow,6,wet_snow,0,19,-1.037997597,-2.20614624,-0.1329040527,7.49559016,8.734260559,0.2836930124,0.5759239197,5.390167236,0.2831057498,0.5741536617,5.379009724,0.08107396176,0.1253967285
E03257,39.25,22.75,2012-02-09T12:00:00,2012-02-10T06:00:00,2012-02-10T07:00:00,19,6,wet_snow,6,wet_snow,0,19,2.600802773,1.992584229,2.978912354,6.51700311,7.96928215,0.1790473336,0.2948284149,3.401899338,0.1688859965,0.2893030643,3.208833933,0.0959376285,0.1923828125
E03235,39.25,22.5,2019-12-30T09:00:00,2019-12-31T03:00:00,2019-12-31T04:00:00,19,6,wet_snow,6,wet_snow,0,19,2.737701416,1.79776001,3.250152588,5.380474291,7.397672653,0.2600443991,0.5681991577,4.940843582,0.2518904837,0.5670189857,4.785919189,0.04775037264,0.09478759766
E00979,40,21.75,2017-02-12T07:00:00,2017-02-13T01:00:00,2017-02-13T02:00:00,19,6,wet_snow,6,wet_snow,0,19,2.325097335,0.9651184082,3.471466064,5.105729254,6.988472939,0.03604888916,0.09398460388,0.684928894,0.03298834751,0.08990764618,0.6267786026,0.2441052889,0.3416748047
E02588,39.5,22.75,2012-02-08T03:00:00,2012-02-08T20:00:00,2012-02-08T21:00:00,18,6,wet_snow,6,wet_snow,0,18,2.712690565,2.180938721,3.115997314,14.26451932,16.87652588,0.6418943405,0.789642334,11.55409813,0.60788095,0.7356226444,10.94185638,0.08763292101,0.1422119141
E02200,39.75,22.75,2019-02-23T19:00:00,2019-02-24T12:00:00,2019-02-24T13:00:00,18,6,wet_snow,6,wet_snow,0,18,2.621029324,2.083648682,3.123443604,11.77617751,14.83240509,0.2691030502,0.5085468292,4.843854904,0.2541691065,0.4513084888,4.575043678,0.08559502496,0.1093139648
E00804,40.25,22.75,2016-01-17T21:00:00,2016-01-18T14:00:00,2016-01-18T15:00:00,18,6,wet_snow,6,wet_snow,0,18,2.954769558,2.287506104,4.324859619,13.96360429,14.34178543,0.147986412,0.2888202667,2.663755417,0.1226246357,0.2616763115,2.207243443,0.03931342231,0.09658813477
E01623,40,22.75,2016-01-17T21:00:00,2016-01-18T14:00:00,2016-01-18T15:00:00,18,6,wet_snow,6,wet_snow,0,18,2.69511244,2.043365479,4.188140869,13.82384735,14.31966496,0.1631259918,0.3604888916,2.936267853,0.1334905624,0.3284096718,2.402830124,0.03964063856,0.1036682129
E01644,40,22.75,2019-02-23T21:00:00,2019-02-24T14:00:00,2019-02-24T15:00:00,18,6,wet_snow,6,wet_snow,0,18,2.326989068,1.773345947,3.21194458,10.33145449,11.6053009,0.1474142075,0.4437446594,2.653455734,0.1295387745,0.3703594208,2.331697941,0.06474134657,0.1210021973
E00761,40.25,22.5,2016-01-17T21:00:00,2016-01-18T14:00:00,2016-01-18T15:00:00,18,6,wet_snow,6,wet_snow,0,18,0.4010586209,-0.6871032715,1.902984619,10.30545542,11.28385162,0.1597881317,0.2635002136,2.876186371,0.1587629318,0.2632856369,2.857732773,0.02005513509,0.05389404297
E02217,39.5,21.75,2012-02-06T22:00:00,2012-02-07T15:00:00,2012-02-07T16:00:00,18,6,wet_snow,6,wet_snow,0,18,2.382836236,1.697174072,2.896148682,8.699237347,10.45948029,1.826357841,4.688930511,32.87444305,1.678198576,4.105603695,30.20757294,0.4656643338,0.8103942871
E01558,40,22.5,2016-01-17T21:00:00,2016-01-18T14:00:00,2016-01-18T15:00:00,18,6,wet_snow,6,wet_snow,0,18,0.3410542806,-0.7769470215,1.863922119,9.748869048,10.34080887,0.1658201218,0.2969741821,2.984762192,0.1646876335,0.2970814705,2.964377403,0.02121480306,0.06033325195
E01579,40,22.5,2019-02-23T21:00:00,2019-02-24T14:00:00,2019-02-24T15:00:00,18,6,wet_snow,6,wet_snow,0,18,-0.6545647515,-1.758148193,0.5635070801,8.768086433,9.267410278,0.142621994,0.4291534424,2.567195892,0.1379311085,0.4176735878,2.482759953,0.0363667806,0.0783996582
E02411,39.5,22.25,2012-02-08T16:00:00,2012-02-09T09:00:00,2012-02-09T10:00:00,18,6,wet_snow,6,wet_snow,0,18,2.711571587,1.84072876,3.449737549,4.720122337,7.278622627,0.1345872879,0.4154205322,2.422571182,0.1294434071,0.3953039646,2.329981327,0.006958007812,0.02893066406
E00836,40,21.75,2012-01-28T08:00:00,2012-01-29T01:00:00,2012-01-29T02:00:00,18,6,wet_snow,6,wet_snow,0,18,1.950191922,1.047271729,3.28604126,4.639745235,6.726447105,0.06549358368,0.1647949219,1.178884506,0.05830824375,0.1595377922,1.049548388,0.2098965115,0.2814941406
E02424,39.5,22.25,2014-12-30T02:00:00,2014-12-30T19:00:00,2014-12-30T20:00:00,18,6,wet_snow,6,wet_snow,0,18,0.3717278375,-0.4157409668,1.352203369,3.896554894,5.671334267,0.3642082214,0.6660461426,6.555747986,0.3643035889,0.6663680077,6.5574646,0.04591030545,0.07418823242
E02335,39.5,22,2012-02-08T16:00:00,2012-02-09T09:00:00,2012-02-09T10:00:00,18,6,wet_snow,6,wet_snow,0,18,1.89364624,1.11807251,2.482940674,3.726090219,5.375302315,0.1686096191,0.4141330719,3.034973145,0.1646727324,0.398093462,2.964109182,0.04206000434,0.060546875
